nom_com,code_insee_com,nom_dept,nom_poll,moyenne_pollution,Tmax_med,Tmin_med,Force_vent_med,RR_med,Insolation_med,Rayonnement_med
LOURDES,65286,HAUTES-PYRENEES,NOX,15.68,18.5,7.0,2.5,57.65,3156.0,12814.0
LOURDES,65286,HAUTES-PYRENEES,O3,52.71,18.5,7.0,2.5,57.65,3156.0,12814.0
LOURDES,65286,HAUTES-PYRENEES,PM10,12.36,18.5,7.0,2.5,57.65,3156.0,12814.0
LOURDES,65286,HAUTES-PYRENEES,PM2.5,7.64,18.5,7.0,2.5,57.65,3156.0,12814.0
TARBES,65440,HAUTES-PYRENEES,NO,6.97,17.4,6.95,2.5,83.0,3156.0,12814.0
TARBES,65440,HAUTES-PYRENEES,NO2,12.99,17.4,6.95,2.5,83.0,3156.0,12814.0
TARBES,65440,HAUTES-PYRENEES,NOX,23.66,17.4,6.95,2.5,83.0,3156.0,12814.0
TARBES,65440,HAUTES-PYRENEES,O3,51.1,17.4,6.95,2.5,83.0,3156.0,12814.0
TARBES,65440,HAUTES-PYRENEES,PM10,13.78,17.4,6.95,2.5,83.0,3156.0,12814.0
TARBES,65440,HAUTES-PYRENEES,PM2.5,9.62,17.4,6.95,2.5,83.0,3156.0,12814.0
BOLQUERE,66020,PYRENEES-ORIENTALES,PM10,9.24,14.7,3.9,2.8,55.9,4173.0,15741.0
BOLQUERE,66020,PYRENEES-ORIENTALES,PM2.5,5.22,14.7,3.9,2.8,55.9,4173.0,15741.0
PERPIGNAN,66136,PYRENEES-ORIENTALES,NO,29.18,19.45,10.8,4.5,29.25,4099.0,14633.5
PERPIGNAN,66136,PYRENEES-ORIENTALES,NO2,25.47,19.45,10.8,4.5,29.25,4099.0,14633.5
PERPIGNAN,66136,PYRENEES-ORIENTALES,NOX,81.76,19.45,10.8,4.5,29.25,4099.0,14633.5
PERPIGNAN,66136,PYRENEES-ORIENTALES,O3,61.36,19.45,10.8,4.5,29.25,4099.0,14633.5
PERPIGNAN,66136,PYRENEES-ORIENTALES,PM10,18.27,19.45,10.8,4.5,29.25,4099.0,14633.5
PERPIGNAN,66136,PYRENEES-ORIENTALES,PM2.5,8.13,19.45,10.8,4.5,29.25,4099.0,14633.5
SAINT-ESTEVE,66172,PYRENEES-ORIENTALES,O3,66.47,19.45,10.8,4.5,29.25,4099.0,14633.5
ALBI,81004,TARN,NO,2.74,18.6,7.9,2.4,62.75,3511.5,13241.5
ALBI,81004,TARN,NO2,10.0,18.6,7.9,2.4,62.75,3511.5,13241.5
ALBI,81004,TARN,NOX,14.58,18.6,7.9,2.4,62.75,3511.5,13241.5
ALBI,81004,TARN,PM10,12.94,18.6,7.9,2.4,62.75,3511.5,13241.5
ALBI,81004,TARN,PM2.5,9.67,18.6,7.9,2.4,62.75,3511.5,13241.5
CASTRES,81065,TARN,NO,1.62,20.4,8.3,2.1,68.8,3031.0,12325.5
CASTRES,81065,TARN,NO2,5.76,20.4,8.3,2.1,68.8,3031.0,12325.5
CASTRES,81065,TARN,NOX,8.02,20.4,8.3,2.1,68.8,3031.0,12325.5
CASTRES,81065,TARN,O3,54.74,20.4,8.3,2.1,68.8,3031.0,12325.5
CASTRES,81065,TARN,PM10,12.7,20.4,8.3,2.1,68.8,3031.0,12325.5
CASTRES,81065,TARN,PM2.5,8.67,20.4,8.3,2.1,68.8,3031.0,12325.5
MONTAUBAN,82121,TARN-ET-GARONNE,NO,9.24,18.6,8.3,2.2,65.0,3433.0,13247.0
MONTAUBAN,82121,TARN-ET-GARONNE,NO2,14.05,18.6,8.3,2.2,65.0,3433.0,13247.0
MONTAUBAN,82121,TARN-ET-GARONNE,NOX,26.35,18.6,8.3,2.2,65.0,3433.0,13247.0
MONTAUBAN,82121,TARN-ET-GARONNE,O3,49.19,18.6,8.3,2.2,65.0,3433.0,13247.0
MONTAUBAN,82121,TARN-ET-GARONNE,PM10,12.87,18.6,8.3,2.2,65.0,3433.0,13247.0
MONTAUBAN,82121,TARN-ET-GARONNE,PM2.5,9.69,18.6,8.3,2.2,65.0,3433.0,13247.0
SAINT-GIRONS,9261,ARIEGE,NO,3.5,17.5,6.6,2.0,38.3,3208.5,12950.0
SAINT-GIRONS,9261,ARIEGE,NO2,8.1,17.5,6.6,2.0,38.3,3208.5,12950.0
SAINT-GIRONS,9261,ARIEGE,NOX,13.77,17.5,6.6,2.0,38.3,3208.5,12950.0
SAINT-GIRONS,9261,ARIEGE,O3,48.51,17.5,6.6,2.0,38.3,3208.5,12950.0
SAINT-GIRONS,9261,ARIEGE,PM10,11.77,17.5,6.6,2.0,38.3,3208.5,12950.0
SAINT-GIRONS,9261,ARIEGE,PM2.5,7.48,17.5,6.6,2.0,38.3,3208.5,12950.0
